Game_ID,Team,Season,Date,Game,Pts_For_Avg,Pts_Agst_Avg,Rebs_Tot_Avg,Rebs_Off_Avg,Rebs_Def_Avg,Blks_Avg,STL_Avg,FGA_Avg,FGM_Avg,FG_PCT_Avg,FTA_Avg,FTM_Avg,FT_PCT_Avg,FG3M_Avg,FG3_PCT_Avg,PF_Avg
0020100007,Atlanta,2001,2001-10-30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0%,0.0
0020100018,Atlanta,2001,2001-11-01,2,84.0,89.0,47.0,10.0,37.0,8.0,10.0,83.0,30.0,36.1%,27.0,21.0,77.8%,3.0,21.4%,26.0
0020100035,Atlanta,2001,2001-11-03,3,86.0,93.5,47.5,12.5,35.0,5.5,8.5,84.5,33.0,39.0%,23.5,17.0,71.4%,3.0,23.2%,24.0
0020100053,Atlanta,2001,2001-11-05,4,87.3,90.0,47.7,12.7,35.0,5.0,8.0,79.7,31.7,39.8%,29.7,21.3,71.4%,2.7,26.6%,23.3
0020100068,Atlanta,2001,2001-11-07,5,87.0,94.8,46.0,13.8,32.3,5.3,7.8,82.8,32.3,39.1%,29.0,20.3,69.3%,2.3,23.1%,23.8
0020100076,Atlanta,2001,2001-11-08,6,87.4,95.0,45.2,13.6,31.6,5.8,7.6,80.4,31.8,39.7%,30.0,21.4,70.7%,2.4,25.9%,23.6
0020100092,Atlanta,2001,2001-11-10,7,86.2,97.2,45.5,13.7,31.8,5.3,7.5,80.5,31.5,39.3%,29.0,20.8,71.5%,2.3,25.8%,22.3
0020100112,Atlanta,2001,2001-11-14,8,86.4,99.0,43.7,13.0,30.7,4.7,7.4,79.9,31.6,39.7%,28.0,20.7,74.2%,2.6,26.5%,22.7
0020100121,Atlanta,2001,2001-11-16,9,89.5,96.5,43.9,12.8,31.1,4.5,7.9,79.3,33.0,41.9%,27.0,20.4,76.2%,3.1,29.9%,22.1
0020100131,Atlanta,2001,2001-11-17,10,88.2,96.7,43.6,12.6,31.0,4.4,7.4,78.7,32.6,41.6%,26.4,20.0,76.3%,3.1,28.8%,22.1
